Type,Size,Trigger,Design,Has_CTA,Position,Content_Type,Category
Notification Bar,Small,On Load,Bold,No,Bottom,Discount,Less Well-Defined
Slide-in,Medium,On Load,Flat,No,Bottom,Help,Less Well-Defined
Slide-in,Medium,Page Load,Intrusive,Yes,Top Right,Help,Ambiguous
Fullscreen,Large,Scroll,Modern,No,Bottom Right,Ad,Well-Defined
Banner,Small,Timer,Simple,Yes,Top Left,Offer,Less Well-Defined
Banner,Large,Exit Intent,Bold,No,Bottom Right,Offer,Well-Defined
Dialog,Medium,Exit Intent,Clean,Yes,Bottom Right,Recommendation,Well-Defined
Exit Popup,Small,Hover,Basic,No,Top,Reminder,Ambiguous
Slide-in,Small,On Load,Bold,Yes,Bottom Left,Offer,Less Well-Defined
Exit Popup,Small,Timer,Intrusive,Yes,Top Right,Ad,Ambiguous
Slide-in,Medium,On Load,Simple,Yes,Top Left,Offer,Less Well-Defined
Dialog,Medium,On Load,Bold,Yes,Top,Offer,Well-Defined
Banner,Medium,Timer,Flat,No,Bottom Left,Newsletter,Less Well-Defined
Floating Box,Thin,Page Load,Basic,No,Top,Survey,Ambiguous
Banner,Medium,Timer,Flat,Yes,Bottom Left,Offer,Less Well-Defined
Exit Popup,Thin,Hover,Intrusive,No,Top Right,Survey,Ambiguous
Banner,Medium,Scroll,Soft,Yes,Center,Recommendation,Well-Defined
Floating Box,Thin,Hover,Intrusive,Yes,Top Right,Help,Ambiguous
Fullscreen,Large,Click,Clean,No,Bottom Right,Recommendation,Well-Defined
Exit Popup,Medium,Timer,Flat,No,Top Right,Survey,Ambiguous
Banner,Large,Click,Soft,No,Full Page,Ad,Well-Defined
Banner,Small,On Load,Clean,No,Top Left,Offer,Less Well-Defined
Modal,Medium,Exit Intent,Modern,No,Center,Offer,Well-Defined
Tooltip,Medium,Timer,Flat,Yes,Top Right,Survey,Ambiguous
Dialog,Medium,Click,Clean,No,Bottom Right,Recommendation,Well-Defined
Banner,Small,On Load,Clean,Yes,Bottom Left,Help,Less Well-Defined
Floating Box,Small,Hover,Basic,No,Top Right,Reminder,Ambiguous
Tooltip,Thin,Timer,Aggressive,No,Top Right,Help,Ambiguous
Dialog,Medium,Scroll,Modern,No,Center,Recommendation,Well-Defined
Tooltip,Thin,Timer,Flat,No,Top,Ad,Ambiguous
Dialog,Small,Timer,Flat,Yes,Bottom,Help,Ambiguous
Fullscreen,Medium,Click,Clean,No,Full Page,Recommendation,Well-Defined
Tooltip,Thin,Hover,Basic,No,Top Right,Reminder,Ambiguous
Dialog,Large,On Load,Clean,Yes,Top,Recommendation,Ambiguous
Notification Bar,Medium,Timer,Bold,Yes,Top Left,Discount,Less Well-Defined
Banner,Medium,On Load,Bold,Yes,Bottom Left,Newsletter,Less Well-Defined
Floating Box,Medium,Hover,Intrusive,Yes,Top Right,Survey,Ambiguous
Dialog,Small,Hover,Flat,No,Top Left,Offer,Less Well-Defined
Banner,Medium,Exit Intent,Clean,No,Center,Offer,Ambiguous
Exit Popup,Thin,Hover,Intrusive,Yes,Top,Help,Ambiguous
Tooltip,Thin,Page Load,Basic,Yes,Top Right,Survey,Ambiguous
Slide-in,Small,Timer,Bold,No,Bottom Left,Newsletter,Less Well-Defined
Tooltip,Thin,Hover,Basic,Yes,Top,Survey,Less Well-Defined
Notification Bar,Medium,On Load,Simple,Yes,Bottom,Offer,Ambiguous
Banner,Medium,Timer,Flat,No,Top Left,Newsletter,Less Well-Defined
Floating Box,Thin,Page Load,Flat,No,Top,Help,Ambiguous
Exit Popup,Thin,Page Load,Flat,Yes,Top Right,Help,Ambiguous
Notification Bar,Small,Timer,Clean,Yes,Top Left,Newsletter,Less Well-Defined
Slide-in,Small,Hover,Flat,Yes,Bottom Left,Newsletter,Less Well-Defined
Slide-in,Thin,Page Load,Basic,Yes,Center,Reminder,Ambiguous
Banner,Medium,Scroll,Soft,Yes,Bottom Right,Offer,Well-Defined
Tooltip,Thin,Page Load,Aggressive,No,Top Right,Help,Ambiguous
Exit Popup,Thin,Hover,Aggressive,No,Top Right,Help,Less Well-Defined
Fullscreen,Medium,Scroll,Soft,No,Bottom Right,Alert,Well-Defined
Floating Box,Small,Page Load,Intrusive,No,Top Right,Survey,Ambiguous
Floating Box,Thin,Page Load,Intrusive,No,Top,Ad,Ambiguous
Notification Bar,Small,Hover,Simple,No,Bottom,Newsletter,Less Well-Defined
Banner,Medium,Exit Intent,Soft,No,Full Page,Recommendation,Well-Defined
Banner,Medium,Hover,Clean,Yes,Bottom Left,Help,Less Well-Defined
Slide-in,Small,Hover,Simple,Yes,Bottom Left,Offer,Less Well-Defined
Notification Bar,Small,Timer,Clean,Yes,Bottom Left,Offer,Less Well-Defined
Slide-in,Medium,On Load,Simple,Yes,Bottom Left,Offer,Less Well-Defined
Slide-in,Small,Timer,Bold,No,Bottom,Offer,Less Well-Defined
Modal,Medium,Click,Bold,No,Full Page,Alert,Well-Defined
Banner,Small,Timer,Bold,No,Top Left,Offer,Less Well-Defined
Banner,Small,Timer,Flat,Yes,Bottom,Help,Less Well-Defined
Floating Box,Medium,Timer,Flat,No,Top,Survey,Ambiguous
Tooltip,Small,Hover,Basic,No,Center,Survey,Ambiguous
Modal,Large,Exit Intent,Soft,Yes,Center,Ad,Well-Defined
Banner,Large,On Load,Soft,No,Center,Alert,Well-Defined
Fullscreen,Large,Exit Intent,Soft,Yes,Center,Alert,Well-Defined
Floating Box,Thin,Hover,Aggressive,No,Top Right,Help,Ambiguous
Tooltip,Thin,Page Load,Basic,Yes,Top,Survey,Ambiguous
Slide-in,Small,Timer,Bold,Yes,Bottom Left,Offer,Less Well-Defined
Banner,Large,Click,Clean,No,Bottom Right,Ad,Well-Defined
Slide-in,Thin,Hover,Intrusive,No,Top,Ad,Ambiguous
Floating Box,Small,Hover,Aggressive,No,Top Right,Help,Ambiguous
Dialog,Small,On Load,Simple,Yes,Bottom Left,Discount,Less Well-Defined
Slide-in,Small,Timer,Flat,No,Top Left,Offer,Less Well-Defined
Slide-in,Medium,On Load,Simple,No,Bottom,Offer,Less Well-Defined
Notification Bar,Medium,On Load,Simple,No,Top Left,Discount,Less Well-Defined
Slide-in,Small,Hover,Flat,Yes,Top Right,Ad,Ambiguous
Tooltip,Small,Hover,Basic,Yes,Top,Help,Ambiguous
Tooltip,Thin,Hover,Intrusive,No,Top,Ad,Ambiguous
Floating Box,Small,Hover,Basic,No,Top,Reminder,Ambiguous
Banner,Small,On Load,Bold,Yes,Bottom,Offer,Less Well-Defined
Exit Popup,Thin,Hover,Intrusive,No,Center,Survey,Ambiguous
Modal,Large,On Load,Clean,Yes,Center,Ad,Well-Defined
Slide-in,Medium,Hover,Intrusive,Yes,Top,Reminder,Less Well-Defined
Floating Box,Small,Page Load,Aggressive,No,Top Right,Reminder,Ambiguous
Modal,Medium,On Load,Clean,Yes,Center,Alert,Well-Defined
Slide-in,Small,Timer,Flat,Yes,Bottom,Discount,Less Well-Defined
Banner,Medium,Click,Soft,Yes,Center,Offer,Well-Defined
Banner,Medium,Click,Modern,No,Center,Alert,Well-Defined
Floating Box,Thin,Page Load,Intrusive,Yes,Top Right,Survey,Ambiguous
Modal,Large,Scroll,Soft,No,Bottom Right,Recommendation,Well-Defined
Tooltip,Small,Hover,Intrusive,No,Top Right,Reminder,Ambiguous
Tooltip,Medium,Timer,Basic,No,Top,Reminder,Ambiguous
Slide-in,Medium,Timer,Bold,No,Bottom,Newsletter,Less Well-Defined
Tooltip,Thin,Timer,Aggressive,No,Top Right,Reminder,Ambiguous
Modal,Medium,On Load,Modern,No,Center,Ad,Well-Defined
Modal,Medium,On Load,Clean,No,Top,Offer,Well-Defined
Tooltip,Thin,Page Load,Intrusive,Yes,Top Right,Help,Ambiguous
Exit Popup,Thin,Hover,Flat,Yes,Top,Reminder,Ambiguous
Modal,Large,Click,Bold,No,Top,Alert,Well-Defined
Dialog,Medium,Click,Clean,Yes,Center,Recommendation,Well-Defined
Modal,Medium,On Load,Modern,Yes,Full Page,Recommendation,Well-Defined
Modal,Large,On Load,Modern,Yes,Bottom Right,Recommendation,Less Well-Defined
Fullscreen,Medium,Exit Intent,Clean,Yes,Center,Recommendation,Well-Defined
Floating Box,Thin,Hover,Aggressive,No,Top,Help,Less Well-Defined
Floating Box,Thin,Timer,Basic,Yes,Center,Survey,Ambiguous
Slide-in,Thin,Page Load,Flat,Yes,Top Right,Reminder,Ambiguous
Banner,Medium,Exit Intent,Bold,Yes,Full Page,Alert,Well-Defined
Dialog,Large,Exit Intent,Bold,Yes,Bottom Right,Ad,Well-Defined
Floating Box,Medium,Hover,Basic,Yes,Center,Help,Ambiguous
Banner,Small,On Load,Bold,Yes,Bottom Left,Newsletter,Less Well-Defined
Notification Bar,Medium,On Load,Flat,No,Top Left,Discount,Less Well-Defined
Fullscreen,Medium,Click,Clean,No,Full Page,Ad,Well-Defined
Slide-in,Small,Page Load,Aggressive,Yes,Top Right,Survey,Ambiguous
Tooltip,Thin,Hover,Aggressive,Yes,Top Right,Reminder,Ambiguous
Modal,Large,Click,Clean,Yes,Top,Alert,Ambiguous
Tooltip,Thin,Page Load,Aggressive,Yes,Top,Survey,Ambiguous
Exit Popup,Thin,Page Load,Intrusive,No,Top,Help,Ambiguous
Notification Bar,Small,Timer,Simple,No,Top Left,Newsletter,Less Well-Defined
Slide-in,Small,Timer,Flat,Yes,Bottom Left,Offer,Less Well-Defined
Tooltip,Medium,Timer,Flat,No,Top Right,Ad,Ambiguous
Tooltip,Small,Hover,Intrusive,No,Top Right,Survey,Ambiguous
Tooltip,Medium,Timer,Basic,Yes,Center,Ad,Ambiguous
Banner,Small,Timer,Bold,Yes,Bottom Left,Help,Less Well-Defined
Slide-in,Thin,Timer,Flat,Yes,Center,Survey,Ambiguous
Tooltip,Small,Hover,Intrusive,Yes,Top Right,Survey,Ambiguous
Dialog,Large,Scroll,Soft,No,Bottom Right,Alert,Well-Defined
Modal,Large,Scroll,Modern,No,Bottom Right,Recommendation,Well-Defined
Dialog,Medium,Scroll,Clean,No,Full Page,Ad,Well-Defined
Fullscreen,Medium,Exit Intent,Soft,No,Full Page,Recommendation,Well-Defined
Banner,Medium,Timer,Simple,No,Top Left,Newsletter,Less Well-Defined
Fullscreen,Large,Click,Soft,No,Top,Offer,Well-Defined
Modal,Medium,Exit Intent,Clean,No,Full Page,Alert,Well-Defined
Tooltip,Medium,Page Load,Intrusive,No,Center,Reminder,Ambiguous
Exit Popup,Small,Hover,Intrusive,Yes,Top,Reminder,Ambiguous
Dialog,Small,On Load,Bold,No,Top Left,Discount,Less Well-Defined
Fullscreen,Medium,Click,Clean,No,Top,Recommendation,Well-Defined
Tooltip,Medium,Hover,Flat,Yes,Top,Reminder,Ambiguous
Banner,Medium,Click,Clean,No,Center,Recommendation,Well-Defined
Banner,Medium,Timer,Flat,No,Bottom Left,Offer,Less Well-Defined
Tooltip,Small,Page Load,Flat,No,Top Right,Survey,Ambiguous
Fullscreen,Medium,Exit Intent,Clean,Yes,Full Page,Recommendation,Well-Defined
Notification Bar,Medium,On Load,Simple,Yes,Bottom Left,Discount,Less Well-Defined
Notification Bar,Medium,Timer,Bold,No,Top Left,Discount,Less Well-Defined
Tooltip,Medium,Page Load,Aggressive,No,Top,Help,Ambiguous
Banner,Small,On Load,Simple,Yes,Bottom Left,Offer,Less Well-Defined
Floating Box,Medium,Page Load,Intrusive,Yes,Center,Reminder,Ambiguous
Banner,Medium,Click,Clean,Yes,Center,Offer,Well-Defined
Modal,Medium,Exit Intent,Soft,Yes,Bottom Right,Alert,Well-Defined
Slide-in,Small,Hover,Intrusive,Yes,Top Right,Survey,Ambiguous
Notification Bar,Small,Hover,Clean,Yes,Bottom,Help,Less Well-Defined
Modal,Large,Exit Intent,Soft,Yes,Bottom Right,Ad,Well-Defined
Exit Popup,Thin,Page Load,Aggressive,Yes,Top,Ad,Well-Defined
Slide-in,Small,Timer,Simple,No,Bottom Left,Discount,Less Well-Defined
Exit Popup,Small,Page Load,Intrusive,Yes,Top Right,Reminder,Ambiguous
Exit Popup,Small,Page Load,Basic,No,Top,Help,Ambiguous
Fullscreen,Medium,Scroll,Modern,No,Full Page,Alert,Well-Defined
Slide-in,Small,Timer,Basic,No,Top,Ad,Ambiguous
Exit Popup,Small,Page Load,Basic,No,Top,Help,Ambiguous
Tooltip,Thin,Hover,Aggressive,Yes,Center,Ad,Ambiguous
Dialog,Small,On Load,Simple,Yes,Bottom,Offer,Less Well-Defined
Tooltip,Thin,Hover,Basic,No,Top,Help,Ambiguous
Floating Box,Medium,Page Load,Basic,No,Center,Survey,Ambiguous
Dialog,Medium,Scroll,Soft,No,Center,Ad,Well-Defined
Floating Box,Small,Hover,Intrusive,No,Top,Help,Ambiguous
Banner,Small,Hover,Flat,No,Bottom Left,Newsletter,Less Well-Defined
Dialog,Large,On Load,Soft,Yes,Top,Offer,Well-Defined
Slide-in,Medium,On Load,Clean,No,Top Left,Offer,Less Well-Defined
Slide-in,Medium,Timer,Flat,Yes,Top Left,Discount,Less Well-Defined
Floating Box,Thin,Page Load,Intrusive,Yes,Top,Help,Ambiguous
Floating Box,Thin,Page Load,Aggressive,No,Center,Ad,Ambiguous
Slide-in,Small,Timer,Bold,Yes,Bottom Left,Discount,Less Well-Defined
Dialog,Large,Scroll,Clean,Yes,Center,Alert,Well-Defined
Slide-in,Small,Hover,Basic,Yes,Top Right,Ad,Ambiguous
Modal,Medium,Exit Intent,Modern,No,Full Page,Recommendation,Well-Defined
Exit Popup,Small,Timer,Flat,No,Top,Help,Ambiguous
Modal,Medium,Click,Modern,No,Center,Ad,Well-Defined
Slide-in,Medium,On Load,Flat,Yes,Top Left,Help,Less Well-Defined
Notification Bar,Small,On Load,Bold,No,Bottom Left,Offer,Less Well-Defined
Banner,Medium,Click,Modern,No,Full Page,Ad,Ambiguous
Modal,Large,Click,Bold,Yes,Full Page,Recommendation,Well-Defined
Modal,Medium,On Load,Clean,No,Bottom Right,Ad,Well-Defined
Floating Box,Thin,Hover,Basic,Yes,Top,Reminder,Ambiguous
Dialog,Medium,Exit Intent,Soft,Yes,Bottom Right,Offer,Well-Defined
Slide-in,Medium,On Load,Flat,No,Bottom,Help,Less Well-Defined
Banner,Medium,Timer,Flat,No,Top Left,Newsletter,Less Well-Defined
Banner,Large,Exit Intent,Modern,No,Bottom Right,Recommendation,Well-Defined
Slide-in,Medium,Hover,Flat,No,Bottom,Discount,Less Well-Defined
Slide-in,Small,Hover,Clean,No,Bottom Left,Discount,Less Well-Defined
Fullscreen,Large,Click,Clean,Yes,Top,Ad,Well-Defined
Banner,Small,Hover,Clean,Yes,Bottom Left,Discount,Less Well-Defined
Floating Box,Medium,Hover,Basic,Yes,Center,Help,Ambiguous
Exit Popup,Medium,Timer,Aggressive,No,Top,Ad,Ambiguous
Fullscreen,Medium,Click,Clean,No,Full Page,Recommendation,Well-Defined
Tooltip,Thin,Page Load,Basic,No,Top Right,Ad,Ambiguous
Banner,Medium,Scroll,Soft,No,Bottom Right,Ad,Well-Defined
Fullscreen,Medium,Exit Intent,Modern,No,Center,Ad,Well-Defined
Banner,Large,Exit Intent,Modern,Yes,Full Page,Offer,Well-Defined
Modal,Medium,Click,Soft,No,Full Page,Ad,Well-Defined
Fullscreen,Medium,Scroll,Soft,Yes,Full Page,Recommendation,Well-Defined
Banner,Small,Timer,Simple,Yes,Bottom Left,Help,Less Well-Defined
Tooltip,Thin,Page Load,Basic,No,Top Right,Reminder,Ambiguous
Floating Box,Thin,Timer,Aggressive,No,Center,Help,Ambiguous
Fullscreen,Large,Click,Soft,Yes,Top,Offer,Well-Defined
Modal,Large,Exit Intent,Clean,No,Center,Offer,Well-Defined
Fullscreen,Medium,On Load,Soft,No,Full Page,Alert,Well-Defined
Slide-in,Medium,Page Load,Flat,Yes,Top,Survey,Ambiguous
Exit Popup,Thin,Page Load,Intrusive,No,Top Right,Help,Ambiguous
Modal,Medium,Exit Intent,Soft,Yes,Center,Offer,Well-Defined
Dialog,Medium,Exit Intent,Clean,No,Center,Ad,Well-Defined
Fullscreen,Medium,Scroll,Modern,No,Center,Alert,Well-Defined
Floating Box,Medium,Timer,Aggressive,No,Top Right,Survey,Ambiguous
Notification Bar,Small,On Load,Simple,Yes,Top Left,Discount,Less Well-Defined
Slide-in,Small,Timer,Flat,No,Bottom Left,Offer,Less Well-Defined
Slide-in,Small,Timer,Bold,Yes,Bottom,Discount,Less Well-Defined
Floating Box,Thin,Hover,Basic,Yes,Top,Help,Ambiguous
Slide-in,Small,Timer,Flat,No,Bottom,Newsletter,Less Well-Defined
Modal,Medium,Exit Intent,Soft,Yes,Full Page,Recommendation,Well-Defined
Floating Box,Thin,Page Load,Basic,No,Center,Ad,Ambiguous
Dialog,Medium,Hover,Simple,No,Top Left,Newsletter,Less Well-Defined
Slide-in,Small,Timer,Flat,No,Top Left,Discount,Less Well-Defined
Dialog,Small,Hover,Bold,Yes,Bottom,Offer,Less Well-Defined
Tooltip,Small,Hover,Basic,No,Top,Help,Ambiguous
Notification Bar,Medium,Timer,Bold,No,Top Left,Offer,Less Well-Defined
Slide-in,Medium,Timer,Basic,Yes,Top,Survey,Ambiguous
Modal,Large,Scroll,Bold,Yes,Top,Recommendation,Well-Defined
Dialog,Medium,Click,Bold,No,Full Page,Recommendation,Well-Defined
Notification Bar,Medium,On Load,Flat,No,Top Left,Newsletter,Less Well-Defined
Banner,Medium,Timer,Flat,Yes,Bottom Left,Newsletter,Less Well-Defined
Banner,Small,Timer,Clean,No,Bottom,Newsletter,Less Well-Defined
Notification Bar,Medium,On Load,Bold,No,Top Left,Offer,Less Well-Defined
Exit Popup,Small,Hover,Flat,Yes,Top,Reminder,Ambiguous
Floating Box,Small,Hover,Basic,No,Top Right,Reminder,Ambiguous
Notification Bar,Medium,Timer,Flat,Yes,Bottom Left,Discount,Less Well-Defined
Banner,Medium,On Load,Flat,No,Bottom Left,Newsletter,Less Well-Defined
Tooltip,Small,Page Load,Basic,Yes,Top,Reminder,Ambiguous
Dialog,Small,On Load,Simple,Yes,Bottom,Offer,Less Well-Defined
Banner,Large,Click,Bold,No,Full Page,Ad,Well-Defined
Notification Bar,Small,Timer,Simple,Yes,Bottom Left,Discount,Less Well-Defined
Modal,Large,Scroll,Clean,No,Bottom Right,Offer,Well-Defined
Floating Box,Small,Page Load,Aggressive,No,Center,Reminder,Ambiguous
Modal,Medium,Scroll,Clean,No,Bottom Right,Alert,Ambiguous
Fullscreen,Medium,Scroll,Modern,No,Bottom Right,Alert,Well-Defined
Dialog,Medium,Exit Intent,Soft,No,Bottom Right,Recommendation,Well-Defined
Tooltip,Small,Page Load,Basic,No,Top,Ad,Ambiguous
Floating Box,Medium,Timer,Aggressive,No,Center,Ad,Ambiguous
Exit Popup,Thin,Page Load,Basic,Yes,Top Right,Reminder,Ambiguous
Dialog,Large,On Load,Clean,No,Center,Ad,Well-Defined
Banner,Medium,On Load,Flat,Yes,Bottom,Newsletter,Less Well-Defined
Floating Box,Small,Timer,Flat,No,Top Right,Reminder,Ambiguous
Fullscreen,Large,Scroll,Modern,Yes,Full Page,Ad,Well-Defined
Modal,Large,Click,Clean,Yes,Full Page,Recommendation,Well-Defined
Notification Bar,Medium,On Load,Flat,Yes,Top Left,Help,Well-Defined
Banner,Small,Timer,Clean,Yes,Bottom,Help,Less Well-Defined
Slide-in,Medium,Hover,Basic,No,Center,Survey,Ambiguous
Dialog,Medium,Exit Intent,Modern,No,Top,Alert,Well-Defined
Exit Popup,Thin,Page Load,Aggressive,No,Top,Reminder,Ambiguous
Slide-in,Thin,Page Load,Intrusive,Yes,Top Right,Survey,Ambiguous
Exit Popup,Thin,Hover,Intrusive,Yes,Top,Help,Ambiguous
Dialog,Large,Click,Clean,No,Bottom Right,Ad,Well-Defined
Slide-in,Small,Timer,Basic,No,Top,Ad,Ambiguous
Slide-in,Medium,Hover,Simple,No,Bottom Left,Discount,Well-Defined
Slide-in,Medium,Timer,Simple,No,Bottom Left,Newsletter,Less Well-Defined
Banner,Large,Click,Clean,No,Bottom Right,Alert,Well-Defined
Tooltip,Thin,Hover,Intrusive,No,Top,Help,Ambiguous
Notification Bar,Small,On Load,Flat,No,Bottom Left,Offer,Less Well-Defined
Banner,Medium,Timer,Bold,No,Bottom,Help,Less Well-Defined
Exit Popup,Thin,Page Load,Aggressive,No,Top Right,Help,Ambiguous
Exit Popup,Thin,Page Load,Aggressive,Yes,Top Right,Help,Ambiguous
Slide-in,Small,On Load,Simple,No,Bottom Left,Offer,Less Well-Defined
Floating Box,Small,Hover,Intrusive,No,Top Right,Help,Well-Defined
Modal,Medium,Exit Intent,Modern,No,Full Page,Ad,Well-Defined
Dialog,Medium,On Load,Simple,Yes,Bottom Left,Discount,Less Well-Defined
Exit Popup,Small,Page Load,Basic,No,Top Right,Survey,Ambiguous
Tooltip,Thin,Hover,Aggressive,Yes,Center,Survey,Ambiguous
Tooltip,Medium,Timer,Intrusive,No,Center,Reminder,Ambiguous
Dialog,Small,On Load,Simple,Yes,Bottom,Help,Less Well-Defined
Notification Bar,Medium,On Load,Simple,No,Bottom Left,Offer,Less Well-Defined
Modal,Medium,On Load,Soft,No,Bottom Right,Ad,Well-Defined
Banner,Large,Exit Intent,Soft,Yes,Full Page,Ad,Well-Defined
Slide-in,Small,Page Load,Basic,Yes,Top,Help,Ambiguous
Banner,Medium,Timer,Simple,No,Top Left,Newsletter,Less Well-Defined
Notification Bar,Small,Hover,Bold,No,Top Left,Offer,Less Well-Defined
Slide-in,Medium,Timer,Flat,No,Bottom Left,Newsletter,Less Well-Defined
Banner,Small,Timer,Simple,No,Top Left,Newsletter,Less Well-Defined
Exit Popup,Thin,Hover,Intrusive,Yes,Top Right,Help,Ambiguous
Tooltip,Thin,Hover,Aggressive,Yes,Top,Reminder,Ambiguous
Dialog,Large,Exit Intent,Bold,Yes,Bottom Right,Ad,Well-Defined
Dialog,Medium,Timer,Clean,No,Top Left,Discount,Less Well-Defined
Slide-in,Medium,Hover,Basic,No,Top Right,Reminder,Ambiguous
Slide-in,Small,Page Load,Flat,Yes,Top,Help,Ambiguous
Exit Popup,Small,Hover,Aggressive,Yes,Top,Survey,Ambiguous
Banner,Small,On Load,Flat,No,Bottom,Offer,Less Well-Defined
Tooltip,Thin,Hover,Flat,No,Top Right,Ad,Less Well-Defined
Tooltip,Small,Page Load,Basic,Yes,Top,Help,Ambiguous
Floating Box,Thin,Hover,Basic,Yes,Center,Reminder,Ambiguous
Tooltip,Thin,Page Load,Basic,Yes,Top,Reminder,Ambiguous
Exit Popup,Medium,Page Load,Basic,No,Center,Help,Ambiguous
Dialog,Medium,Scroll,Soft,No,Full Page,Alert,Well-Defined
Notification Bar,Small,Timer,Clean,Yes,Bottom Left,Help,Less Well-Defined
Notification Bar,Small,Hover,Simple,Yes,Top Left,Help,Less Well-Defined
Banner,Medium,On Load,Bold,No,Bottom Left,Discount,Less Well-Defined
Tooltip,Small,Timer,Flat,No,Top Right,Help,Ambiguous
Fullscreen,Medium,Click,Bold,No,Top,Offer,Well-Defined
Exit Popup,Medium,Timer,Aggressive,Yes,Center,Help,Ambiguous
Slide-in,Small,On Load,Flat,Yes,Bottom Left,Newsletter,Less Well-Defined
Notification Bar,Small,Timer,Flat,Yes,Bottom,Discount,Less Well-Defined
Floating Box,Medium,Hover,Basic,No,Center,Survey,Ambiguous
Slide-in,Medium,Timer,Simple,Yes,Bottom Left,Discount,Well-Defined
Fullscreen,Large,Scroll,Soft,No,Center,Ad,Well-Defined
Tooltip,Small,Hover,Intrusive,No,Top Right,Ad,Ambiguous
Exit Popup,Thin,Page Load,Intrusive,No,Top Right,Survey,Ambiguous
Slide-in,Small,Timer,Aggressive,Yes,Top Right,Survey,Ambiguous
Banner,Medium,Scroll,Clean,No,Full Page,Alert,Well-Defined
Dialog,Medium,Timer,Clean,Yes,Bottom,Newsletter,Less Well-Defined
Floating Box,Small,Hover,Basic,Yes,Top Right,Survey,Ambiguous
Dialog,Large,Exit Intent,Soft,No,Center,Alert,Well-Defined
Slide-in,Medium,Timer,Simple,No,Top Left,Discount,Less Well-Defined
Slide-in,Small,On Load,Flat,No,Top Left,Discount,Less Well-Defined
Banner,Medium,Timer,Clean,Yes,Top Left,Newsletter,Less Well-Defined
Floating Box,Small,Hover,Basic,Yes,Top,Help,Ambiguous
Fullscreen,Medium,Click,Modern,Yes,Bottom Right,Alert,Well-Defined
Modal,Medium,On Load,Clean,Yes,Bottom Right,Ad,Well-Defined
Dialog,Small,Timer,Clean,No,Top Left,Discount,Less Well-Defined
Dialog,Medium,On Load,Bold,No,Bottom Right,Recommendation,Well-Defined
Dialog,Small,Hover,Simple,No,Bottom,Help,Less Well-Defined
Dialog,Medium,On Load,Simple,No,Bottom Left,Newsletter,Less Well-Defined
Slide-in,Medium,Hover,Intrusive,No,Center,Ad,Ambiguous
Slide-in,Medium,Timer,Bold,No,Top Left,Offer,Less Well-Defined
Floating Box,Thin,Hover,Aggressive,No,Top,Survey,Ambiguous
Banner,Small,Timer,Flat,Yes,Top Left,Discount,Less Well-Defined
Fullscreen,Large,Scroll,Bold,Yes,Bottom Right,Recommendation,Well-Defined
Notification Bar,Medium,On Load,Bold,Yes,Bottom Left,Offer,Less Well-Defined
Dialog,Large,Scroll,Modern,No,Bottom Right,Offer,Less Well-Defined
Banner,Small,Hover,Bold,Yes,Bottom Left,Help,Less Well-Defined
Tooltip,Thin,Hover,Basic,Yes,Top Right,Survey,Ambiguous
Tooltip,Small,Timer,Basic,No,Top,Help,Ambiguous
Exit Popup,Small,Page Load,Basic,No,Top,Help,Ambiguous
Notification Bar,Small,Timer,Simple,No,Bottom Left,Discount,Less Well-Defined
Notification Bar,Medium,Hover,Flat,Yes,Bottom Left,Discount,Less Well-Defined
Notification Bar,Small,Timer,Flat,Yes,Bottom,Offer,Less Well-Defined
Floating Box,Small,Hover,Aggressive,No,Top,Survey,Ambiguous
Slide-in,Small,Timer,Bold,Yes,Top Left,Discount,Less Well-Defined
Dialog,Large,Exit Intent,Soft,Yes,Top,Alert,Well-Defined
Dialog,Medium,On Load,Modern,No,Full Page,Alert,Well-Defined
Fullscreen,Large,Scroll,Modern,Yes,Top,Alert,Well-Defined
Dialog,Large,Scroll,Modern,Yes,Bottom Right,Alert,Well-Defined
Fullscreen,Medium,Exit Intent,Soft,Yes,Center,Alert,Well-Defined
Modal,Large,Click,Clean,No,Center,Ad,Well-Defined
Banner,Medium,On Load,Flat,Yes,Bottom Left,Offer,Less Well-Defined
Banner,Medium,Hover,Simple,Yes,Top Left,Help,Less Well-Defined
Slide-in,Small,On Load,Bold,Yes,Top Left,Discount,Less Well-Defined
Exit Popup,Small,Page Load,Basic,No,Center,Survey,Ambiguous
Floating Box,Small,Page Load,Intrusive,Yes,Center,Reminder,Well-Defined
Exit Popup,Medium,Timer,Flat,No,Top,Ad,Less Well-Defined
Floating Box,Small,Timer,Flat,Yes,Top Right,Reminder,Ambiguous
Fullscreen,Medium,Scroll,Bold,No,Center,Recommendation,Well-Defined
Tooltip,Small,Hover,Basic,No,Center,Ad,Ambiguous
Tooltip,Small,Hover,Intrusive,No,Top,Reminder,Ambiguous
Modal,Large,On Load,Clean,Yes,Bottom Right,Ad,Well-Defined
Slide-in,Thin,Timer,Aggressive,No,Top Right,Survey,Ambiguous
Dialog,Medium,Scroll,Soft,Yes,Center,Ad,Well-Defined
Fullscreen,Large,Scroll,Modern,No,Center,Ad,Well-Defined
Floating Box,Thin,Timer,Intrusive,Yes,Top,Survey,Ambiguous
Slide-in,Thin,Page Load,Basic,Yes,Top Right,Reminder,Ambiguous
Fullscreen,Medium,Scroll,Clean,No,Center,Offer,Well-Defined
Slide-in,Medium,Hover,Bold,No,Bottom Left,Discount,Less Well-Defined
